label,username,tweet
positif,UmumTahun,siapa calon presiden dan wakil presiden 2024
positif,NurlinaPermata,"Sepertinya sinyal dukungan untuk Pak Prabowo semakin kuat. capres2024 pemilu2024 dekade08 terusmajubersamaprabowo mendingprabowo 

Kerja Nyata Prabowo 
Cek Dekade 08 

@prabowo @gerindra https://t.co/g0rF5SHETZ"
positif,SintaDamay12,"Keren banget, Pak Prabowo didampingi juga sama Panglima TNI. capres2024 pemilu2024 dekade08 terusmajubersamaprabowo mendingprabowo 

Kerja Nyata Prabowo 
Cek Dekade 08 

@prabowo @gerindra https://t.co/d4syEJV8Ve"
positif,aziz_jordan,"@cnbcindonesia Yg penting , ekonomi nasional aman &amp  lancar bu..,, aplgi mendekati pemilu 2024"
positif,tvOneNews,Sri Mulyani: Pemilu 2024 Mendorong Aktivitas Perekonomian Membaik https://t.co/7R6jr6swQW
positif,MichelAdam7__,"Pemilu 2024:  Saya pilih Pak Anies aja dah. Semuanya sudah ketahuan: Kinerjanya OK, di Jakarta, di tingkat nasional maupun internasional.  Pinter otaknya, wawasannya luas. Dan yang terpenting agama OK."" (Bang Agung Milenial)  #JokowiPresidenGagalTotal #JokowiPresidenGagalTotal https://t.co/CDy6DWKDYK"""
positif,fadli83809632,"Semoga BPK @aniesbaswedan  menang di pemilu 2024.  Agr kelak BPK Anies bs berantas akun Buzzeer yg siluman / tegakkan Hukum KPD seluruh pegiat sosmed, demi terciptanya persatuan bangsa."
positif,SenjaAinun1,Ayo ciptakan pemilu Damai. Waspada hoax jelang pemilu 2024 https://t.co/LdkXdGysDQ
positif,DuaImanuel,"Salah satu kunci suksesnya Pemilu 2024 adalah stabilitas keamanan nasional. Berbagai upaya akan dilakukan pemerintah khususnya dalam menangkal hoaks, ujaran kebencian #SukseskanPemilu2024 #PemiluTanpaHoaks #PemiluTanpaPolitikIdentitas #PemiluDamai. https://t.co/tC9yHnnXq7"
positif,PolresKra,Netralitas dan soliditas menjadi kunci utama suksesnya pengamana pemilu 2024 https://t.co/erAPJkIVnn
positif,DuniaInform221,"Agar Pemilu 2024 berlangsung dengan jujur, bebas dan berkualitas. Sehingga dapat melahirkan pemimpin yang terhidar dari budaya korupsi#tidakadapenundaanpemilu, #TolakPolitikUang, #GunakanHakPilihmu. #SukseskanPemilu2024 https://t.co/gAn9Kx8yME"
positif,panjiseha,Negara ini harus jaga prinsip demokrasi menjelang pemilu 2024 #ItsTimeRestorasiIndonesia #NasdemNo5 #AniesPresidenku #NasDemPilihannya https://t.co/0WB2oJ1cf2
positif,GanjarPresiden_,Ganjar Pranowo calon Presiden 2024 penerus Presiden Jokowi  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/YTAe02BxcS
positif,Paljariatiyusra,@FPKSDPRRI @PKSejahtera Insya Allah makin bahagia ketika bersama rakyat menangkan PKS pd Pemilu 2024 nanti #PKSpembelaRakyat
positif,KasimS3654,Gerindra ajak masyarakat Bali jaga kerukunan menuju Pemilu 2024 - ANTARA #PrabowoNeruskePakdhe #PrabowoSubianto #PrabowoJagaKerukunan https://t.co/jm7zmAmxeN
positif,ArdiKuncoro_,"@Gus_Raharjo Setuju.... Mari kita ciptakan PEMILU 2024 damai dan sejuk.  Buat apa kita ribut² bd pilihan monggo, biar nanti yg menang dan yg klh ttp harmonis dan legowo, hny itu hrpn Sy."
positif,YuliAppriani,Mari kita sukseskan Pemilu 2024 dengan ikut serta dalam pemilihan #dukungpemilu2024 #marikitadukungpemilu2024 #SukseskanPemilu2024 https://t.co/5M8uVbn021
positif,YuliAppriani,Damai Pemilu 2024 adalah tanggung jawab kita bersama untuk meneruskan kelangsungan demokrasi Indonesia #Capres2024 #KPU #Bawaslu #IndonesiaMaju https://t.co/hd3C4CDerY
positif,EfendiRak,"@PartaiSocmed 2024 -  kita butuh perubahan ... Yg kita harapkan pemilu jujur, adil dan transparan"
positif,FestusAjami,Semoga lewat hari raya ini MA Bisa kabulkan prima ikut pemilu 2024 🙏 https://t.co/pSt6aqgilb
positif,PPSkasiyan,Mari Sukseskan Pemilu 2024 .. Suara kita sangat berharga.... https://t.co/8cXv2iSbeF
positif,manaluhotasi,"@Metro_TV @erickthohir Oreng2 terbaik bangsa ini harus ikut dalam Pemilu 2024, supaya tetap bisa berkontribusi bagi kemajuan bangsa dan negara"
positif,Santiira2,Mari bersama jalankan pemilu 2024 dengan damai https://t.co/yrdeOwBD8h
positif,picturesofcth,"@sukabenar_ @refaabdi Pemilu 2024 harus aman, damai dan lancar"
positif,picturesofcth,@rekodarabima76 @refaabdi Pemilu 2024 harus suskes
positif,hanumaldaptr,"Wah, denger-denger nih duo Pak Prabowo sama Pak Erick mau jadi capres-cawapres. Semoga bisa bikin Indo makin hebat! #AllInPrabowo #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,hanumaldaptr,Duo Pak Prabowo sama Pak Erick ini katanya bakal bisa bikin harapan publik terwujud. Kita tunggu aja deh! #AllInPrabowo #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024
positif,hanumaldaptr,"Saya, sebagai Ketua Umum PKB, mengajak seluruh kader dan simpatisan untuk mendukung Prabowo Subianto sebagai bacapres! Mari bersatu demi kebangkitan bangsa! #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
positif,FashionIin,@Muhamma15022310 @Kanjeng2022 Ada yg d edit Ada yg makan mentah  Sebagai orang  Sukoharjo jateng Aku seneng dg Gubernur Jateng  Kesimpulan : Semoga Ganjar eh..ANIES BASWEDAN TERPILIH PRESIDEN RI PEMILU 2024
positif,vee_tirani70,@pangeransiahaan Sosok pemimpin yg aku idolakan. Smoga ditahun 2024 nanti bisa sukses dalam pemilu nya
positif,ryansetiadi017,Dan saya pun pasti mendukung gus muhaimin untuk pemilu 2024 @cakimiNOW @DPP_PKB https://t.co/GZkQnYfaxP
positif,in_adisusanto,"@RajaJuliAntoni @adearmando61 Terima kasih pak Wamen, saya paling mengidolakan Bang Ade Armando di Cokro TV dan di Pemilu 2024 nanti saya dan seluruh keluarga akan mencoblos PSI👍"
