created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Feb 13 00:57:42 +0000 2024;1757207383942775238;"Telah beredar buletin digital yang memuat tulisan Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/3CJ1NCZ9RK., hendak memenangkan salah satu calon presiden pada Pemilu 2024 #PolriTidakNetral #kapolri #Pemilu2024 #polripresisi #PemiluDamai https://t.co/7RBS9XIUWz";0;0;0;0;in;1575410964530225152;1757207383942775238;WirawanDavit;https://twitter.com/WirawanDavit/status/1757207383942775238
Tue Feb 13 00:57:30 +0000 2024;1757207335699931148;"Biasanya berangkat kerja selalu kena macet, Alhamdulillah 2 hari ini ndk kena macet dong yaa 😊✨ Efek #harirayaimlek &amp  #pemilu2024";0;0;0;0;in;1690120786051567617;1757207335699931148;Endahrachma03;https://twitter.com/Endahrachma03/status/1757207335699931148
Tue Feb 13 00:56:44 +0000 2024;1757207139926544757;"Hindari Golput agar aspirasi dapat terwujud 😎   @kpu_ri   #Pemilu2024  #IndonesiaLengkap  #ATRBPNKiniLebihBaik  #ATRBPNMajudanModern  #MelayaniProfesionalTerpercaya  RT @kem_atrbpn";0;0;0;0;in;2919642200;1757207136856371480;kanwilbpnsultra;https://twitter.com/kanwilbpnsultra/status/1757207139926544757
Tue Feb 13 00:56:21 +0000 2024;1757207045554700466;"Exit poll abal2. Lawak lawak #Pemilu2024";0;0;0;0;in;178600482;1757207045554700466;jpieterz;https://twitter.com/jpieterz/status/1757207045554700466
Tue Feb 13 00:56:01 +0000 2024;1757206961714847749;"Pemasangan bilik suara #Pemilu2024 #PemiluDamai2024 #fypviraltwitter #fypviral #Folklore https://t.co/OyACOTq1OO";0;0;0;0;in;3309508717;1757206961714847749;deoagus39;https://twitter.com/deoagus39/status/1757206961714847749
Tue Feb 13 00:54:59 +0000 2024;1757206700241944602;"@DS_yantie Exit Poll itu ada metodologinya dan seharusnya dilakukan oleh lembaga kresible. Kalo nggak, ya akan sama seperti di medsos2 itu. "Kak, pilih apa? 01, 02, 03? Bu, pak, tadi pilih apa? Trus dicatet di kertas.. mungkin gak pake papan, jadi kumel. Awokwokwok #exitpoll #Pemilu2024";1;0;0;0;in;178600482;1756986800881733820;jpieterz;https://twitter.com/jpieterz/status/1757206700241944602
Tue Feb 13 00:54:58 +0000 2024;1757206695032373312;"5️⃣ Mengajak seluruh masyarakat Indonesia, baik di dalam maupun di luar negeri, untuk terlibat aktif mengawal Pemilu 2024 berjalan sesuai dengan kode etik dan nilai-nilai demokrasi.  Senin, 12 Februari 2024  Pelajar Indonesia di Utrecht  #MenolakDiam #Pemilu2024 #KampusBergerak";0;1;0;0;in;579914367;1757206679379182001;PPIUtrecht;https://twitter.com/PPIUtrecht/status/1757206695032373312
Tue Feb 13 00:54:57 +0000 2024;1757206692691861678;"4️⃣ Aparat keamanan dan aparatur sipil negara untuk menunjukkan dan mengutamakan netralitas selama Pemilu 2024 berlangsung, dan secara aktif menjamin kebebasan berpendapat sesuai marwah berdemokrasi sebagaimana amanat Undang-Undang Dasar 1945.  #MenolakDiam #Pemilu2024";0;1;0;0;in;579914367;1757206679379182001;PPIUtrecht;https://twitter.com/PPIUtrecht/status/1757206692691861678
Tue Feb 13 00:54:56 +0000 2024;1757206690208891351;"3️⃣ Dewan Perwakilan Rakyat agar aktif melakukan fungsi pengawasan terhadap Presiden Joko Widodo dan seluruh aparatur pemerintahan, serta memastikan pemerintahan berjalan sesuai koridor konstitusi dan hukum.  #MenolakDiam #Pemilu2024 #KampusBergerak #PemudaBergerak";0;1;0;0;in;579914367;1757206679379182001;PPIUtrecht;https://twitter.com/PPIUtrecht/status/1757206690208891351
Tue Feb 13 00:54:56 +0000 2024;1757206688027795878;"2️⃣ Penyelenggara negara memastikan Pemilu 2024 berjalan dengan netral dan partisipatif, untuk menjamin pemenuhan hak asasi manusia dalam pelaksanaan partisipasi publik.  #MenolakDiam #Pemilu2024 #KampusBergerak #PemudaBergerak";0;1;0;0;in;579914367;1757206679379182001;PPIUtrecht;https://twitter.com/PPIUtrecht/status/1757206688027795878
Tue Feb 13 00:54:55 +0000 2024;1757206685821653047;"1️⃣ Presiden Joko Widodo, beserta jajaran kabinetnya, dan penyelenggara negara untuk menghentikan penyalahgunaan kekuasaan demi menguntungkan kepentingan pribadi.  #MenolakDiam #Pemilu2024 #KampusBergerak #PemudaBergerak";0;1;0;0;in;579914367;1757206679379182001;PPIUtrecht;https://twitter.com/PPIUtrecht/status/1757206685821653047
Tue Feb 13 00:54:54 +0000 2024;1757206679379182001;"PERNYATAAN SIKAP PELAJAR-PELAJAR INDONESIA DI UTRECHT DAN KOTA-KOTA LAINNYA DI BELANDA  ‼️ 𝙏𝙞𝙙𝙖𝙠 𝘼𝙙𝙖 𝙀𝙩𝙞𝙠𝙖 𝙃𝙖𝙧𝙞 𝙄𝙣𝙞  𝙈𝙚𝙣𝙤𝙡𝙖𝙠 𝘿𝙞𝙖𝙢 𝘿𝙚𝙢𝙞 𝙋𝙚𝙢𝙞𝙡𝙪 𝘽𝙚𝙧𝙞𝙣𝙩𝙚𝙜𝙧𝙞𝙩𝙖𝙨 ‼️  #MenolakDiam #Pemilu2024 #KampusBergerak #PemudaBergerak https://t.co/JPnY7g0dCw";0;1;0;0;in;579914367;1757206679379182001;PPIUtrecht;https://twitter.com/PPIUtrecht/status/1757206679379182001
Tue Feb 13 00:54:10 +0000 2024;1757206496566252004;"PREDIKSI TOGEL JUAL4D  PERTANGGAL 13/02/2024  CARI DI GOOGLE : JUAL4D LINK : https://t.co/bJlsDrseW2 GRUP TELEGRAM : https://t.co/ZyiXBjTAB4  #jual4d #Pemilu2024  #PrabowoGibran  #jual4dtogel #jual4dtoto #jual4djackpot #jual4dsitus #jual4dlogin #JUAL4D https://t.co/QILSwfVwOl";0;0;0;0;in;1716065592292302848;1757206496566252004;jual4d;https://twitter.com/jual4d/status/1757206496566252004
Tue Feb 13 00:53:59 +0000 2024;1757206450940617159;"PREDIKSI TOGEL JUAL4D  PERTANGGAL 13/02/2024  CARI DI GOOGLE : JUAL4D LINK : https://t.co/bJlsDrseW2 GRUP TELEGRAM : https://t.co/ZyiXBjTAB4  #jual4d #Pemilu2024  #PrabowoGibran  #jual4dtogel #jual4dtoto #jual4djackpot #jual4dsitus #jual4dlogin #JUAL4D https://t.co/qy9MeoYNT4";0;0;0;0;in;1716065592292302848;1757206450940617159;jual4d;https://twitter.com/jual4d/status/1757206450940617159
Tue Feb 13 00:53:49 +0000 2024;1757206406984339526;"PREDIKSI TOGEL JUAL4D  PERTANGGAL 13/02/2024  CARI DI GOOGLE : JUAL4D LINK : https://t.co/bJlsDrseW2 GRUP TELEGRAM : https://t.co/ZyiXBjTAB4  #jual4d #Pemilu2024  #PrabowoGibran  #jual4dtogel #jual4dtoto #jual4djackpot #jual4dsitus #jual4dlogin #JUAL4D https://t.co/H6gGj8mRfE";0;0;0;0;in;1716065592292302848;1757206406984339526;jual4d;https://twitter.com/jual4d/status/1757206406984339526
Tue Feb 13 00:53:35 +0000 2024;1757206350785073605;""Allah tidak pernah mengatakan bahwa jalan hidup akan mudah. Tapi, Dia mengatakan 'Aku akan bersama dengan mereka yang mau bersabar'." #Pemilu2024 #hijrah #quot https://t.co/gkxQ1pkQLh";0;0;0;0;in;427522492;1757206350785073605;P_Asuhan_Yasibu;https://twitter.com/P_Asuhan_Yasibu/status/1757206350785073605
Tue Feb 13 00:50:59 +0000 2024;1757205692891750519;"Mari Menjaga Persatuan Untuk Indonesia #MengabdiMelayani Bakti Untuk Negeri #BersamaJagaKamtibmas Untuk Indonesia Aman dan damai #PolriHumanis #PolriPresisi #mantapbrata2024 #pemilu2024 #pemiludamai2024 #Polda NTT#Polres Ngada @listyosigitprabowo @spripim.polri@divisihumaspolri https://t.co/xRCCZA3Cnd";0;0;0;1;in;1589492664336285696;1757205692891750519;Kasi_HmsResNgd;https://twitter.com/Kasi_HmsResNgd/status/1757205692891750519
Tue Feb 13 00:47:20 +0000 2024;1757204774884401441;"apakah hilal fajar mulai menyerang sudah kelihatan  #seranganfajar #Pemilu2024";0;0;0;0;in;1706868595798732800;1757204774884401441;toon_corp;https://twitter.com/toon_corp/status/1757204774884401441
Tue Feb 13 00:47:06 +0000 2024;1757204717300859137;"Penutupan Layanan Pada Kantor Bapas Luwuk Sehubungan Dengan Adanya Pemilu 2024.  #Kemenkumham #Pemasyarakatan #BapasLuwuk #Pemilu2024 https://t.co/ZpxdWr22yS";0;0;0;0;in;1037296364722388992;1757204717300859137;bapas_luwuk;https://twitter.com/bapas_luwuk/status/1757204717300859137
Tue Feb 13 00:45:49 +0000 2024;1757204395815747817;"Bawaslu RI Respons Kritik di Fim Dokumenter Dirty Vote: Terimakasih Loh https://t.co/08VhzofDPR   #DirtyVote #Bawaslu #Pemilu2024 #kritik #filmdokumenter #kecuranganpemilu #Pilpres2024 #pikiranrakyatkuningan";0;0;0;2;in;1337831150287384576;1757204395815747817;PR_Kuningan;https://twitter.com/PR_Kuningan/status/1757204395815747817
Tue Feb 13 00:44:55 +0000 2024;1757204166068621537;"Suasana Pasar Loak Jatinegara di masa tenang Jelang #Pemilu2024 di #jakarta #Indonesia https://t.co/8US8iNOfOT";0;0;0;0;in;35701348;1757204166068621537;revilonolobmis;https://twitter.com/revilonolobmis/status/1757204166068621537
Tue Feb 13 00:44:54 +0000 2024;1757204164583780624;"Pilih berdasarkan riset sendiri, lihat proses &amp rekam jejaknya. bukan krn ikut²an trend influencer idolamu, mereka rata² dibayar/dapat benefit. Sedangkan kamu dpt apa?? mikir🙏🏻  #bijakmemilih #Pemilu2024";0;0;0;0;in;1923530066;1757204164583780624;millemustofa_;https://twitter.com/millemustofa_/status/1757204164583780624
Tue Feb 13 00:44:47 +0000 2024;1757204134577733785;"Saat ini kita memasuki Masa Tenang dalam Pemilu 2024, para calon kandidat masih boleh kampanye tidak ya? 🤔  Yuk kita pelajari apa itu Masa Tenang melalui informasi berikut, Sanak! 😊  #MasaTenang  #Pemilu2024   #KumhamKalsel #FaisolAli #Rtnbarabai #GtIskandarsyahKanwil https://t.co/J8qLSmAgX1";0;0;10;10;in;1222758011061489664;1757204134577733785;Rutan_Barabai;https://twitter.com/Rutan_Barabai/status/1757204134577733785
Tue Feb 13 00:42:23 +0000 2024;1757203530140561504;"@cholilnafis Dibahas di kampus pula. Mencerdaskan ini UGM.  #Pemilu2024 https://t.co/zEPIHCNVAr";0;0;0;0;in;2267576778;1757198824861495659;elingyuks;https://twitter.com/elingyuks/status/1757203530140561504
Tue Feb 13 00:42:13 +0000 2024;1757203488034246865;"TKN Prabowo-Gibran sebut Dirty Vote Fitnah, Bawaslu RI Bakal Dalami Dugaan Pelanggaran Masa Tenang  #DirtyVote #Bawaslu #TKNPrabowoGibran #Pilpres2024 #Pemilu2024  https://t.co/3yqmKV8tpD lewat @tribunkaltim";0;0;0;0;in;103551225;1757203488034246865;tribunkaltim;https://twitter.com/tribunkaltim/status/1757203488034246865
